Paragraph,CF – Contribution flow,CT – Choose a task,FM – Find a mentor,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,University,Author,Filename,Paragraph Index,Document
"If no Javascript dependencies have changed (i.e., no changes to `package.json`), it is faster to run:

    yarn --cwd presto-main/src/main/resources/webapp/src run package",0,0,0,0,0,1,0,ufpa,group_s,facebook_presto.xlsx,22,README
"To simplify iteration, you can also run in `watch` mode, which automatically re-compiles when changes to source files are detected:

    yarn --cwd presto-main/src/main/resources/webapp/src run watch",0,0,0,0,0,1,0,ufpa,group_s,facebook_presto.xlsx,23,README
"To iterate quickly, simply re-build the project in IntelliJ after packaging is complete. Project resources will be hot-reloaded and changes are reflected on browser refresh.",0,0,0,0,0,1,1,ufpa,group_s,facebook_presto.xlsx,24,README
"# Contributing to Presto

## Contributor License Agreement (""CLA"")

In order to accept your pull request, we need you to submit a CLA. You only need to do this once, so if you've done this for another Facebook open source project, you're good to go. If you are submitting a pull request for the first time, just let us know that you have completed the CLA and we can cross-check with your GitHub username.",1,0,0,0,0,0,1,ufpa,group_s,facebook_presto.xlsx,2,CONTRIBUTING
Complete your CLA here: <https://code.facebook.com/cla>,1,0,0,1,0,0,1,ufpa,group_s,facebook_presto.xlsx,3,CONTRIBUTING
"## License

By contributing to Presto, you agree that your contributions will be licensed under the [Apache License Version 2.0 (APLv2)](LICENSE).",1,0,0,0,0,0,0,ufpa,group_s,facebook_presto.xlsx,4,CONTRIBUTING
"# Vagrant

* Website: [https://www.vagrantup.com/](https://www.vagrantup.com/)",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,2,README
* Source: [https://github.com/hashicorp/vagrant](https://github.com/hashicorp/vagrant),0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,3,README
* [![Gitter chat](https://badges.gitter.im/mitchellh/vagrant.png)](https://gitter.im/mitchellh/vagrant),0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,4,README
* Mailing list: [Google Groups](https://groups.google.com/group/vagrant-up),0,0,0,1,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,5,README
* IRC: #vagrant on freenode.org,0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,6,README
"Vagrant is a tool for building and distributing development environments.

Development environments managed by Vagrant can run on local virtualized
platforms such as VirtualBox or VMware, in the cloud via AWS or OpenStack,
or in containers such as with Docker or raw LXC.",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,7,README
"Vagrant provides the framework and configuration format to create and
manage complete portable development environments. These development
environments can live on your computer or in the cloud, and are portable
between Windows, Mac OS X, and Linux.",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,8,README
"## Quick Start

For the quick-start, we'll bring up a development machine on
[VirtualBox](https://www.virtualbox.org/) because it is free and works
on all major platforms. Vagrant can, however, work with almost any
system such as [OpenStack](https://www.openstack.org/), [VMware](https://www.vmware.com/), [Docker](https://docs.docker.com/), etc.",1,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,9,README
"First, make sure your development machine has
[VirtualBox](https://www.virtualbox.org/)
installed. After this,
[download and install the appropriate Vagrant package for your OS](https://www.vagrantup.com/downloads.html).",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,10,README
"To build your first virtual environment:

    vagrant init hashicorp/precise32
    vagrant up

Note: The above `vagrant up` command will also trigger Vagrant to download the
`precise32` box via the specified URL. Vagrant only does this if it detects that
the box doesn't already exist on your system.",0,0,0,0,1,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,11,README
"## Getting Started Guide

To learn how to build a fully functional development environment, follow the
[getting started guide](https://www.vagrantup.com/docs/getting-started/index.html).",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,12,README
"## Installing from Source

If you want the bleeding edge version of Vagrant, we try to keep master pretty stable
and you're welcome to give it a shot. Please review the installation page [here](https://www.vagrantup.com/docs/installation/source.html).",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,13,README
"## Contributing to Vagrant

Once your Vagrant bundle is installed from Git repository, you can run the test suite with:

    bundle exec rake

This will run the unit test suite, which should come back all green!",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,14,README
"Please take time to read the [HashiCorp Community Guidelines](https://www.hashicorp.com/community-guidelines) and the [Vagrant Contributing Guide](https://github.com/hashicorp/vagrant/blob/master/.github/CONTRIBUTING.md).

Then you're good to go!",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,15,README
"### Acceptance Tests

Vagrant also comes with an acceptance test suite that does black-box
tests of various Vagrant components. Note that these tests are **extremely
slow** because actual VMs are spun up and down. The full test suite can
take hours. Instead, try to run focused component tests.",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,16,README
"To run the acceptance test suite, first copy `vagrant-spec.config.example.rb`
to `vagrant-spec.config.rb` and modify it to valid values. The places you
should fill in are clearly marked.",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,17,README
"Next, see the components that can be tested:

```
$ rake acceptance:components
cli
provider/virtualbox/basic
...
```",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,18,README
"Then, run one of those components:

```
$ rake acceptance:run COMPONENTS=""cli""
...
```",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,19,README
"# Contributing to Vagrant

**First:** We like to encourage you to contribute to the repository. If you're unsure or afraid of _anything_, just ask or submit the issue or pull request anyways. You won't be yelled at for giving your best effort. The worst that can happen is that you'll be politely asked to change something. We appreciate any sort of contributions, and don't want a wall of rules to get in the way of that.
",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,2,CONTRIBUTING
"However, for those individuals who want a bit more guidance on the best way to contribute to the project, read on. This document will cover what we're looking for. By addressing all the points we're looking for, it raises the chances we can quickly merge or address your contributions.",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,3,CONTRIBUTING
"Before opening a new issue or pull request, we do appreciate if you take some time to search for [possible duplicates](https://github.com/hashicorp/vagrant/issues?q=sort%3Aupdated-desc), or similar discussions in the [mailing list](https://groups.google.com/forum/#!forum/vagrant-up). On GitHub, you can scope searches by labels to narrow things down.",0,0,0,1,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,4,CONTRIBUTING
"## Issues

### Reporting an Issue

**Tip:** We have provided a [GitHub issue template](https://github.com/hashicorp/vagrant/blob/master/.github/ISSUE_TEMPLATE.md). By respecting the proposed format and filling all the relevant sections, you'll strongly help the Vagrant collaborators to handle your request the best possible way.",0,1,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,5,CONTRIBUTING
"### Issue Lifecycle

1. The issue is reported.
2. The issue is verified and categorized by Vagrant collaborator(s). Categorization is done via GitHub tags for different dimensions (like issue type, affected components, pending actions, etc.)
3. Unless it is critical, the issue is left for a period of time, giving outside contributors a chance to address the issue. Later, the issue may be assigned to a Vagrant collaborator and planned for a specific release [milestone](https://github.com/hashicorp/vagrant/milestones)
4. The issue is addressed in a pull request or commit. The issue will be referenced in the commit message so that the code that fixes it is clearly linked.
5. The issue is closed. Sometimes, valid issues will be closed to keep the issue tracker clean. The issue is still indexed and available for future viewers, or can be re-opened if necessary.
",1,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,6,CONTRIBUTING
"## Pull Requests

Thank you for contributing! Here you'll find information on what to include in your Pull Request (“PR” for short) to ensure it is reviewed quickly, and possibly accepted.",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,7,CONTRIBUTING
"Before starting work on a new feature or anything besides a minor bug fix, it is highly recommended to first initiate a discussion with the Vagrant community (either via a GitHub issue, the [mailing list](https://groups.google.com/forum/#!forum/vagrant-up), IRC freenode `#vagrant` or [Gitter](https://gitter.im/mitchellh/vagrant)). This will save you from wasting days implementing a feature that could be rejected in the end.",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,8,CONTRIBUTING
"No pull request template is provided on GitHub. The expected changes are often already described and validated in an existing issue, that obviously should be referenced. The Pull Request thread should be mainly used for the code review.",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,9,CONTRIBUTING
"**Tip:** Make it small! A focused PR gives you the best chance of having it accepted. Then, repeat if you have more to propose!",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,10,CONTRIBUTING
"### How to prepare

Once you're confident that your upcoming changes will be accepted:

* In your forked repository, create a topic branch for your upcoming patch.
  * Usually this is based on the master branch.
  * Checkout a new branch based on master; `git checkout -b my-contrib master`
    Please avoid working directly on the `master` branch.
* Make focused commits of logical units and describe them properly.
* Avoid re-formatting of the existing code
* Check for unnecessary whitespace with `git diff --check` before committing.
* If possible, submit tests along with your topic branch. It will help a lot to get your your patch / new feature accepted, and should prevent unwanted breaking changes to silently happen in future developments.
* Assure nothing is broken by running manual tests, and all the automated tests.",0,0,0,0,1,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,11,CONTRIBUTING
"### Submit Changes

* Push your changes to a topic branch in your fork of the repository.
* Open a PR to the original repository and choose the right original branch you want to patch (master for most cases).
* If not done in commit messages (which you really should do) please reference and update your issue with the code changes.
* Even if you have write access to the repository, do not directly push or merge your own pull requests. Let another team member review your PR and approve.",0,0,0,0,0,0,1,ufpa,group_5,mitchellh_vagrant.xlsx,12,CONTRIBUTING
"### Pull Request Lifecycle

1. You are welcome to submit your PR for commentary or review before it is fully completed. Please prefix the title of your PR with ""[WIP]"" to indicate this. It's also a good idea to include specific questions or items you'd like feedback on.
2. Sign the [HashiCorp CLA](#hashicorp-cla). If you haven't signed the CLA yet, a bot will ask you to do so. You only need to sign the CLA once. If you've already signed the CLA, the CLA status will be green automatically.
3. The PR is categorized by Vagrant collaborator(s), applying GitHub tags similarly to issues triage.
4. Once you believe your PR is ready to be merged, you can remove any
  ""[WIP]"" prefix from the title and a Vagrant collaborator will review.
5. One of the Vagrant collaborators will look over your contribution and either provide comments letting you know if there is anything left to do. We do our best to provide feedback in a timely manner, but it may take some time for us to respond.
6. Once all outstanding comments have been addressed, your contribution will be merged! Merged PRs will be included in the next Vagrant release. The Vagrant contributors will take care of updating the CHANGELOG as they merge.
7. We might decide that a PR should be closed. We'll make sure to provide clear reasoning when this happens.",0,0,0,0,0,1,0,ufpa,group_5,mitchellh_vagrant.xlsx,13,CONTRIBUTING
"## HashiCorp CLA

We require all contributors to sign the [HashiCorp CLA](https://www.hashicorp.com/cla).

In simple terms, the CLA affirms that the work you're contributing is original, that you grant HashiCorp permission to use that work (including license to any patents necessary), and that HashiCorp may relicense your work for our commercial products if necessary. Note that this description is a summary and the specific legal terms should be read directly in the [CLA](https://www.hashicorp.com/cla).",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,14,CONTRIBUTING
"The CLA does not change the terms of the standard open source license used by our software such as MPL2 or MIT. You are still free to use our projects within your own projects or businesses, republish modified source, and more. Please reference the appropriate license of this project to learn more.

To sign the CLA, open a pull request as usual. If you haven't signed the CLA yet, a bot will respond with a link asking you to sign the CLA. We cannot merge any pull request until the CLA is signed. You only need to sign the CLA once. If you've signed the CLA before, the bot will not respond to your PR and your PR will be allowed to merge.",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,15,CONTRIBUTING
"# Additional Resources

* [HashiCorp Community Guidelines](https://www.hashicorp.com/community-guidelines)
* [General GitHub documentation](https://help.github.com/)
* [GitHub pull request documentation](https://help.github.com/send-pull-requests/)",0,0,0,0,0,0,0,ufpa,group_5,mitchellh_vagrant.xlsx,16,CONTRIBUTING
".. image:: http://docs.celeryproject.org/en/latest/_images/celery-banner-small.png

|build-status| |coverage| |license| |wheel| |pyversion| |pyimp| |ocbackerbadge| |ocsponsorbadge|

:Version: 4.3.0rc2 (rhubarb)
:Web: http://celeryproject.org/
:Download: https://pypi.org/project/celery/
:Source: https://github.com/celery/celery/
:Keywords: task, queue, job, async, rabbitmq, amqp, redis,
  python, distributed, actors",0,0,0,0,1,0,0,ufpa,group_j,celery_celery.xlsx,2,README
"Donations
=========

This project relies on your generous donations.

If you are using Celery to create a commercial product, please consider becoming our `backer`_ or our `sponsor`_ to ensure Celery's future.

.. _`backer`: https://opencollective.com/celery#backer
.. _`sponsor`: https://opencollective.com/celery#sponsor",0,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,3,README
"Sponsors
--------

|ImageLink|_

.. |ImageLink| image:: https://i.imgur.com/ULmQEib.png
.. _ImageLink: https://getstream.io/try-the-api/?utm_source=celery&utm_medium=banner&utm_campaign=github",0,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,4,README
"What's a Task Queue?
====================

Task queues are used as a mechanism to distribute work across threads or
machines.

A task queue's input is a unit of work, called a task, dedicated worker
processes then constantly monitor the queue for new work to perform.

Celery communicates via messages, usually using a broker
to mediate between clients and workers. To initiate a task a client puts a
message on the queue, the broker then delivers the message to a worker.

A Celery system can consist of multiple workers and brokers, giving way
to high availability and horizontal scaling.

Celery is written in Python, but the protocol can be implemented in any
language. In addition to Python there's node-celery_ for Node.js,
and a `PHP client`_.

Language interoperability can also be achieved by using webhooks
in such a way that the client enqueues an URL to be requested by a worker.

.. _node-celery: https://github.com/mher/node-celery
.. _`PHP client`: https://github.com/gjedeer/celery-php
",1,1,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,5,README
"What do I need?
===============

Celery version 4.3 runs on,

- Python (2.7, 3.4, 3.5, 3.6, 3.7)
- PyPy2.7 (6.0)
- PyPy3.5 (6.0)


This is the last version to support Python 2.7,
and from the next version (Celery 5.x) Python 3.5 or newer is required.",0,0,0,0,1,0,0,ufpa,group_j,celery_celery.xlsx,6,README
"If you're running an older version of Python, you need to be running
an older version of Celery:

- Python 2.6: Celery series 3.1 or earlier.
- Python 2.5: Celery series 3.0 or earlier.
- Python 2.4 was Celery series 2.2 or earlier.

Celery is a project with minimal funding,
so we don't support Microsoft Windows.
Please don't open any issues related to that platform.",0,0,0,0,1,0,0,ufpa,group_j,celery_celery.xlsx,7,README
"*Celery* is usually used with a message broker to send and receive messages.
The RabbitMQ, Redis transports are feature complete,
but there's also experimental support for a myriad of other solutions, including
using SQLite for local development.

*Celery* can run on a single machine, on multiple machines, or even
across datacenters.",0,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,8,README
"Get Started
===========

If this is the first time you're trying to use Celery, or you're
new to Celery 4.2 coming from previous versions then you should read our
getting started tutorials:

- `First steps with Celery`_

    Tutorial teaching you the bare minimum needed to get started with Celery.

- `Next steps`_

    A more complete overview, showing more features.

.. _`First steps with Celery`:
    http://docs.celeryproject.org/en/latest/getting-started/first-steps-with-celery.html

.. _`Next steps`:
    http://docs.celeryproject.org/en/latest/getting-started/next-steps.html",1,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,9,README
"Celery is...
=============

- **Simple**

    Celery is easy to use and maintain, and does *not need configuration files*.

    It has an active, friendly community you can talk to for support,
    like at our `mailing-list`_, or the IRC channel.

    Here's one of the simplest applications you can make::

        from celery import Celery

        app = Celery('hello', broker='amqp://guest@localhost//')

        @app.task
        def hello():
            return 'hello world'",1,0,0,1,0,0,0,ufpa,group_j,celery_celery.xlsx,10,README
"- **Highly Available**

    Workers and clients will automatically retry in the event
    of connection loss or failure, and some brokers support
    HA in way of *Primary/Primary* or *Primary/Replica* replication.",0,1,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,11,README
"- **Fast**

    A single Celery process can process millions of tasks a minute,
    with sub-millisecond round-trip latency (using RabbitMQ,
    py-librabbitmq, and optimized settings).",0,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,12,README
"- **Flexible**

    Almost every part of *Celery* can be extended or used on its own,
    Custom pool implementations, serializers, compression schemes, logging,
    schedulers, consumers, producers, broker transports, and much more.",0,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,13,README
"It supports...
================

    - **Message Transports**

        - RabbitMQ_, Redis_, Amazon SQS

    - **Concurrency**

        - Prefork, Eventlet_, gevent_, single threaded (``solo``)

    - **Result Stores**

        - AMQP, Redis
        - memcached
        - SQLAlchemy, Django ORM
        - Apache Cassandra, IronCache, Elasticsearch

    - **Serialization**

        - *pickle*, *json*, *yaml*, *msgpack*.
        - *zlib*, *bzip2* compression.
        - Cryptographic message signing.

.. _`Eventlet`: http://eventlet.net/
.. _`gevent`: http://gevent.org/

.. _RabbitMQ: https://rabbitmq.com
.. _Redis: https://redis.io
.. _SQLAlchemy: http://sqlalchemy.org",0,0,0,1,0,0,0,ufpa,group_j,celery_celery.xlsx,14,README
"Framework Integration
=====================

Celery is easy to integrate with web frameworks, some of which even have
integration packages:

    +--------------------+------------------------+
    | `Django`_          | not needed             |
    +--------------------+------------------------+
    | `Pyramid`_         | `pyramid_celery`_      |
    +--------------------+------------------------+
    | `Pylons`_          | `celery-pylons`_       |
    +--------------------+------------------------+
    | `Flask`_           | not needed             |
    +--------------------+------------------------+
    | `web2py`_          | `web2py-celery`_       |
    +--------------------+------------------------+
    | `Tornado`_         | `tornado-celery`_      |
    +--------------------+------------------------+
",0,0,0,0,1,1,0,ufpa,group_j,celery_celery.xlsx,15,README
"The integration packages aren't strictly necessary, but they can make
development easier, and sometimes they add important hooks like closing
database connections at ``fork``.",0,0,0,0,1,1,1,ufpa,group_j,celery_celery.xlsx,16,README
".. _`Django`: https://djangoproject.com/
.. _`Pylons`: http://pylonsproject.org/
.. _`Flask`: http://flask.pocoo.org/
.. _`web2py`: http://web2py.com/
.. _`Bottle`: https://bottlepy.org/
.. _`Pyramid`: http://docs.pylonsproject.org/en/latest/docs/pyramid.html
.. _`pyramid_celery`: https://pypi.org/project/pyramid_celery/
.. _`celery-pylons`: https://pypi.org/project/celery-pylons/
.. _`web2py-celery`: https://code.google.com/p/web2py-celery/
.. _`Tornado`: http://www.tornadoweb.org/
.. _`tornado-celery`: https://github.com/mher/tornado-celery/",0,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,17,README
".. _celery-documentation:

Documentation
=============

The `latest documentation`_ is hosted at Read The Docs, containing user guides,
tutorials, and an API reference.

.. _`latest documentation`: http://docs.celeryproject.org/en/latest/",1,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,18,README
".. _celery-installation:

Installation
============

You can install Celery either via the Python Package Index (PyPI)
or from source.

To install using ``pip``:

::


    $ pip install -U Celery",0,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,19,README
".. _bundles:

Bundles
-------

Celery also defines a group of bundles that can be used
to install Celery and the dependencies for a given feature.

You can specify these in your requirements or on the ``pip``
command-line by using brackets. Multiple bundles can be specified by
separating them by commas.

::


    $ pip install ""celery[librabbitmq]""

    $ pip install ""celery[librabbitmq,redis,auth,msgpack]""",0,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,20,README
"The following bundles are available:

Serializers
~~~~~~~~~~~

:``celery[auth]``:
    for using the ``auth`` security serializer.

:``celery[msgpack]``:
    for using the msgpack serializer.

:``celery[yaml]``:
    for using the yaml serializer.",0,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,21,README
"Concurrency
~~~~~~~~~~~

:``celery[eventlet]``:
    for using the ``eventlet`` pool.

:``celery[gevent]``:
    for using the ``gevent`` pool.",0,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,22,README
"Transports and Backends
~~~~~~~~~~~~~~~~~~~~~~~

:``celery[librabbitmq]``:
    for using the librabbitmq C library.

:``celery[redis]``:
    for using Redis as a message transport or as a result backend.

:``celery[sqs]``:
    for using Amazon SQS as a message transport.

:``celery[tblib``]:
    for using the ``task_remote_tracebacks`` feature.

:``celery[memcache]``:
    for using Memcached as a result backend (using ``pylibmc``)

:``celery[pymemcache]``:
    for using Memcached as a result backend (pure-Python implementation).

:``celery[cassandra]``:
    for using Apache Cassandra as a result backend with DataStax driver.

:``celery[azureblockblob]``:
    for using Azure Storage as a result backend (using ``azure-storage``)

:``celery[s3]``:
    for using S3 Storage as a result backend.

:``celery[couchbase]``:
    for using Couchbase as a result backend.

:``celery[arangodb]``:
    for using ArangoDB as a result backend.

:``celery[elasticsearch]``:
    for using Elasticsearch as a result backend.

:``celery[riak]``:
    for using Riak as a result backend.

:``celery[cosmosdbsql]``:
    for using Azure Cosmos DB as a result backend (using ``pydocumentdb``)

:``celery[zookeeper]``:
    for using Zookeeper as a message transport.

:``celery[sqlalchemy]``:
    for using SQLAlchemy as a result backend (*supported*).

:``celery[pyro]``:
    for using the Pyro4 message transport (*experimental*).

:``celery[slmq]``:
    for using the SoftLayer Message Queue transport (*experimental*).

:``celery[consul]``:
    for using the Consul.io Key/Value store as a message transport or result backend (*experimental*).

:``celery[django]``:
    specifies the lowest version possible for Django support.

    You should probably not use this in your requirements, it's here
    for informational purposes only.",0,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,23,README
".. _celery-installing-from-source:

Downloading and installing from source
--------------------------------------

Download the latest version of Celery from PyPI:

https://pypi.org/project/celery/

You can install it by doing the following,:

::


    $ tar xvfz celery-0.0.0.tar.gz
    $ cd celery-0.0.0
    $ python setup.py build
    # python setup.py install

The last command must be executed as a privileged user if
you aren't currently using a virtualenv.",1,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,24,README
".. _celery-installing-from-git:

Using the development version
-----------------------------

With pip
~~~~~~~~

The Celery development version also requires the development
versions of ``kombu``, ``amqp``, ``billiard``, and ``vine``.

You can install the latest snapshot of these using the following
pip commands:

::


    $ pip install https://github.com/celery/celery/zipball/master#egg=celery
    $ pip install https://github.com/celery/billiard/zipball/master#egg=billiard
    $ pip install https://github.com/celery/py-amqp/zipball/master#egg=amqp
    $ pip install https://github.com/celery/kombu/zipball/master#egg=kombu
    $ pip install https://github.com/celery/vine/zipball/master#egg=vine 

With git
~~~~~~~~

Please see the Contributing section.",1,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,25,README
".. _getting-help:

Getting Help
============

.. _mailing-list:

Mailing list
------------

For discussions about the usage, development, and future of Celery,
please join the `celery-users`_ mailing list.

.. _`celery-users`: https://groups.google.com/group/celery-users/",0,0,0,1,0,0,0,ufpa,group_j,celery_celery.xlsx,26,README
".. _irc-channel:

IRC
---

Come chat with us on IRC. The **#celery** channel is located at the `Freenode`_
network.

.. _`Freenode`: https://freenode.net",0,0,0,1,0,0,0,ufpa,group_j,celery_celery.xlsx,27,README
".. _bug-tracker:

Bug tracker
===========

If you have any suggestions, bug reports, or annoyances please report them
to our issue tracker at https://github.com/celery/celery/issues/",1,1,0,1,0,0,0,ufpa,group_j,celery_celery.xlsx,28,README
".. _wiki:

Wiki
====

https://wiki.github.com/celery/celery/",1,1,1,1,1,1,1,ufpa,group_j,celery_celery.xlsx,29,README
"Credits
=======

.. _contributing-short:

Contributors
------------

This project exists thanks to all the people who contribute. Development of
`celery` happens at GitHub: https://github.com/celery/celery

You're highly encouraged to participate in the development
of `celery`. If you don't like GitHub (for some reason) you're welcome
to send regular patches.

Be sure to also read the `Contributing to Celery`_ section in the
documentation.",1,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,30,README
".. _`Contributing to Celery`:
    http://docs.celeryproject.org/en/master/contributing.html

|oc-contributors|

.. |oc-contributors| image:: https://opencollective.com/celery/contributors.svg?width=890&button=false
    :target: https://github.com/celery/celery/graphs/contributors",1,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,31,README
"Backers
-------

Thank you to all our backers! 🙏 [`Become a backer`_]

.. _`Become a backer`: https://opencollective.com/celery#backer

|oc-backers|

.. |oc-backers| image:: https://opencollective.com/celery/backers.svg?width=890
    :target: https://opencollective.com/celery#backers",1,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,32,README
"Sponsors
--------

Support this project by becoming a sponsor. Your logo will show up here with a
link to your website. [`Become a sponsor`_]

.. _`Become a sponsor`: https://opencollective.com/celery#sponsor

|oc-sponsors|

.. |oc-sponsors| image:: https://opencollective.com/celery/sponsor/0/avatar.svg
    :target: https://opencollective.com/celery/sponsor/0/website",1,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,33,README
".. _license:

License
=======

This software is licensed under the `New BSD License`. See the ``LICENSE``
file in the top distribution directory for the full license text.

.. # vim: syntax=rst expandtab tabstop=4 shiftwidth=4 shiftround

.. |build-status| image:: https://secure.travis-ci.org/celery/celery.png?branch=master
    :alt: Build status
    :target: https://travis-ci.org/celery/celery

.. |coverage| image:: https://codecov.io/github/celery/celery/coverage.svg?branch=master
    :target: https://codecov.io/github/celery/celery?branch=master

.. |license| image:: https://img.shields.io/pypi/l/celery.svg
    :alt: BSD License
    :target: https://opensource.org/licenses/BSD-3-Clause

.. |wheel| image:: https://img.shields.io/pypi/wheel/celery.svg
    :alt: Celery can be installed via wheel
    :target: https://pypi.org/project/celery/

.. |pyversion| image:: https://img.shields.io/pypi/pyversions/celery.svg
    :alt: Supported Python versions.
    :target: https://pypi.org/project/celery/

.. |pyimp| image:: https://img.shields.io/pypi/implementation/celery.svg
    :alt: Support Python implementations.
    :target: https://pypi.org/project/celery/

.. |ocbackerbadge| image:: https://opencollective.com/celery/backers/badge.svg
    :alt: Backers on Open Collective
    :target: #backers

.. |ocsponsorbadge| image:: https://opencollective.com/celery/sponsors/badge.svg
    :alt: Sponsors on Open Collective
    :target: #sponsors
",1,0,0,0,0,1,0,ufpa,group_j,celery_celery.xlsx,34,README
".. _contributing:

==============
 Contributing
==============

Welcome!

This document is fairly extensive and you aren't really expected
to study this in detail for small contributions;",0,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,2,CONTRIBUTING
"    The most important rule is that contributing must be easy
    and that the community is friendly and not nitpicking on details,
    such as coding style.",0,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,3,CONTRIBUTING
"If you're reporting a bug you should read the Reporting bugs section
below to ensure that your bug report contains enough information
to successfully diagnose the issue, and if you're contributing code
you should try to mimic the conventions you see surrounding the code
you're working on, but in the end all patches will be cleaned up by
the person merging the changes so don't worry too much.",0,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,4,CONTRIBUTING
"Community Code of Conduct
=========================

The goal is to maintain a diverse community that's pleasant for everyone.
That's why we would greatly appreciate it if everyone contributing to and
interacting with the community also followed this Code of Conduct.

The Code of Conduct covers our behavior as members of the community,
in any forum, mailing list, wiki, website, Internet relay chat (IRC), public
meeting or private correspondence.

The Code of Conduct is heavily based on the `Ubuntu Code of Conduct`_, and
the `Pylons Code of Conduct`_.

.. _`Ubuntu Code of Conduct`: https://www.ubuntu.com/community/conduct
.. _`Pylons Code of Conduct`: http://docs.pylonshq.com/community/conduct.html",0,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,5,CONTRIBUTING
"Be considerate
--------------

Your work will be used by other people, and you in turn will depend on the
work of others. Any decision you take will affect users and colleagues, and
we expect you to take those consequences into account when making decisions.
Even if it's not obvious at the time, our contributions to Celery will impact
the work of others. For example, changes to code, infrastructure, policy,
documentation and translations during a release may negatively impact
others work.",0,0,0,0,0,0,0,ufpa,group_j,celery_celery.xlsx,6,CONTRIBUTING
